word,sentiment_score
 ,-0.16437913207025803
了,-0.14428078497317365
的,-0.008352831758229136
，,0.0665186349494664
是,0.05654109414838859
我,-0.055852452301957206
？,-0.1993921790682305
今天,0.036743385037614346
都,-0.0578748180685447
就,0.02254475253115663
?,0.07030859793174103
嗎,0.06753087365706369
要,0.11887941888740693
~,-0.029873101875475247
在,-0.10793958279708929
!,-0.027859797276061554
有,0.08466621641222476
！,0.013537207408762028
又,0.00041911468875655667
買,0.04763829619267031
好,0.13286276127048655
啊,-0.1926875838244411
不,-0.13008986264047118
你,-0.1047354518865611
也,-0.05041212186551373
=,-0.19838330165604873
...,-0.08201458057988972
沒,-0.2309809342449328
吧,-0.00029942390129453683
多,-0.03657777662671005
啦,-0.06624900152501417
來,-0.0536080999129798
說,0.08253684444678792
看,0.05727144269488986
被,-0.19049959657095908
真的,0.16091870945098347
跟,0.15627852710037649
跌,-0.2502634781639175
賺,0.0879975167329713
到,-0.026194127616116853
會,0.1425178148840367
明天,0.004313198227330956
怎麼,-0.03505335238189794
GG,-0.20180324339899872
…,-0.14443511109386636
XD,-0.19535484879033002
人,-0.18473656194114166
就是,0.011369998431326338
空,-0.18849635978893006
錢,0.02766592966179296
台股,-0.007190493241284996
很,-0.07461259293309917
大,0.14806581827682785
。,-0.03963641864060989
再,0.10578923186620312
～,0.10011868542402848
QQ,-0.23610373633146353
漲,-0.11526175327148644
+,0.0684645874464859
死,-0.35721678272127855
老蘇,0.12170136097410802
喔,0.023368764208832903
軍,-0.3130094371287297
阿,-0.1512042055154011
笑,-0.1556584758074969
去,-0.14908198252036944
上,0.07089426808177786
拉,-0.060860672153040106
昨天,-0.14511138996367698
等,0.06804951485278513
才,0.3006680934701871
賣,-0.1384534359481464
現在,-0.061991339698417504
@,-0.10901647791954891
大家,-0.037435367174045296
什麼,-0.17661016416670622
嘎,-0.25605699324930425
後,0.0949024906001616
做,-0.044157779277248996
長榮,-0.002028472990129496
..,-0.12978348592947275
外資,-0.2057851545224558
V,-0.26209326064651134
殺,-0.2973721950610574
對,-0.15424937746738593
一堆,0.14282491589037558
有人,-0.2934683580988895
想,-0.08619115852725241
他,-0.12491703106855244
美股,0.03018479682526941
快,-0.024078177527739015
",",-0.1156512438921048
月,0.014931823449881787
惹,-0.13786553340434
崩,-0.19083181295565418
這樣,-0.11302248921861194
漲停,-0.05184835883227888
一下,0.17623779900910921
誰,-0.22526293090567462
為,-0.047948104556639524
^,0.023820874745931343
-,-0.025900825265320872
點,-0.04164078017887003
囉,0.11079344129580075
老師,0.10370718576533115
吃,-0.1219457657941412
股,-0.07469074252222091
那,0.04190176739266028
自己,-0.021179656194791004
....,-0.15277157606563224
跑,-0.146182142997293
繼續,0.14811063285074522
99,-0.1763134745268724
.,-0.12641363581300125
散戶,-0.20564435943559722
股票,-0.039263330309716585
下去,-0.23945829563353918
1,-0.09149936823617992
這麼,-0.17538212551603194
台,-0.1554280106505495
讓,0.01890885544775426
下,-0.2924227448468252
小,-0.02256921860817485
比,0.04255843926571569
是不是,0.033761923558533316
玩,-0.1602845997199946
(,-0.005376001159566046
起來,0.018725282517194727
2,-0.12359481345154495
:,0.1152617057772076
可能,-0.0021348021296919034
高,0.06380607891065612
/,0.030262567586245955
萬,-0.05551711859338111
一個,-0.0289684770111844
航運,0.009511784233502556
嗚,-0.3511256763198522
：,0.00993664818240108
得,0.017539538165949928
撿,-0.09297287024150407
還在,0.0007587630588947016
10,-0.07178317008272415
每天,0.08984683432774543
啥,-0.23097456672887398
喊,-0.2534900361238123
呢,-0.03779781079260258
這,-0.010708007337598396
爆,-0.25508831994870956
完,0.004946744628851141
到底,-0.17521209051956316
