Date,sentiment_mean,sentiment_count
2018-03-27,0.008947660995802171,1116
2018-03-28,0.017356586885349384,1346
2018-03-29,0.018322730436752557,964
2018-03-31,0.01652942405568857,562
2018-04-02,0.024580177750696867,1341
2018-04-03,0.011748074678733234,2695
2018-04-05,0.011003062705959752,1332
2018-04-09,0.009068025336314522,776
2018-04-10,0.008645232498372695,2091
2018-04-11,0.01274672673124488,1700
2018-04-12,0.011686233259803128,1975
2018-04-13,0.013214608864979663,2462
2018-04-16,0.007717575097742834,1684
2018-04-17,0.004440313550566185,2287
2018-04-18,0.010055914773221557,1351
2018-04-19,0.016290191388510747,1328
2018-04-20,0.005839438294098565,1359
2018-04-23,0.01225559757977855,1344
2018-04-24,0.0017140961539680525,1365
2018-04-25,0.006888664831106918,2337
2018-04-26,0.008428090475947777,2448
2018-04-27,0.002149885495056595,2083
2018-04-30,0.018910171528031393,2476
2018-05-02,0.012080118561917529,1733
2018-05-03,0.01449014960764437,2728
2018-05-04,0.016568801023899248,2570
2018-05-07,0.01382989793284495,1103
2018-05-08,0.014485833027508525,1661
2018-05-09,0.015165910127028179,1745
2018-05-10,0.013911558055774096,1957
2018-05-11,0.01652124787345511,2686
2018-05-14,0.01994473928435667,1988
2018-05-15,0.025096496066058537,2461
2018-05-16,0.021959166432987915,1611
2018-05-17,0.017469728373613658,2087
2018-05-18,0.016784006460396742,2055
2018-05-21,0.015553348077107001,1778
2018-05-22,0.02237390580735382,1873
2018-05-23,0.01620847087357946,2311
2018-05-24,0.016497419258496515,1835
2018-05-25,0.023218300664937887,1939
2018-05-28,0.0150702197423813,1292
2018-05-29,0.0070357996052867865,2018
2018-05-30,0.011275762436956552,1891
2018-05-31,0.011328112377376513,1992
2018-06-01,0.020971660182966954,2159
2018-06-04,0.019153816685381714,1831
2018-06-05,0.016404848331663405,1688
2018-06-06,0.02446082011477099,1972
2018-06-07,0.015331937319394992,1970
2018-06-08,0.01761173991356904,2681
2018-06-11,0.0187487811479038,1314
2018-06-12,0.016799345040223988,1881
2018-06-13,0.011811702419658406,2025
2018-06-14,0.009479605994866067,1878
2018-06-15,0.009120150375164027,2662
2018-06-19,0.004155403327920629,2175
2018-06-20,0.002307057212997211,1704
2018-06-21,0.011489573541108987,1760
2018-06-22,0.015866872461906725,1950
2018-06-25,0.008502251047963622,1841
2018-06-26,0.001884996982238298,1725
2018-06-27,0.005589520748795236,2059
2018-06-28,0.011096594083466296,1706
2018-06-29,0.014170352121941631,2248
2018-07-02,0.0020867798821570084,1891
2018-07-03,0.0034786711306736997,1868
2018-07-04,0.003616511203617278,1681
2018-07-05,0.010968976481153423,2250
2018-07-06,0.0063969464112431035,1518
2018-07-09,0.010264287391232018,1638
2018-07-10,0.01725060013425003,1630
2018-07-11,0.007914469588817823,1538
2018-07-12,0.01981633068330279,1466
2018-07-13,0.018264241879267774,1680
2018-07-16,0.012714115310196113,1160
2018-07-17,0.021660345306177338,1649
2018-07-18,0.016066322376259476,1691
2018-07-19,0.012280325901511388,1798
2018-07-20,0.0011326870118451425,2137
2018-07-23,0.008944302499599136,1883
2018-07-24,0.014999390565044247,1606
2018-07-25,0.024027047758729755,1724
