Date,sentiment_mean,sentiment_count
2018-03-27,0.0024126517516289496,1220
2018-03-28,0.0018607298004977234,1455
2018-03-29,0.0034382591680705344,1062
2018-03-31,0.007074905908111405,616
2018-04-02,0.0035086922439810948,1452
2018-04-03,0.00359668946509685,2943
2018-04-05,0.004159003720591072,1452
2018-04-09,0.002166450175271423,827
2018-04-10,0.002622798975182308,2271
2018-04-11,0.0014895905860664754,1911
2018-04-12,0.003231635737083278,2154
2018-04-13,0.002232543287552494,2719
2018-04-16,0.0027992838010858505,1823
2018-04-17,0.00381867362014405,2487
2018-04-18,0.0034855184921498672,1466
2018-04-19,0.002224855045551961,1449
2018-04-20,0.0030129067339673943,1476
2018-04-23,0.0016074878019033403,1489
2018-04-24,0.0014161427024986003,1481
2018-04-25,0.002893713633454786,2519
2018-04-26,0.005383363853953904,2669
2018-04-27,0.0038236104949717735,2253
2018-04-30,0.003112885207980002,2667
2018-05-02,0.00205516748971653,1888
2018-05-03,0.0039733675414392895,2919
2018-05-04,0.002909919400647658,2770
2018-05-07,0.0016839372041332094,1217
2018-05-08,0.0045251500074652866,1811
2018-05-09,0.0029444518351016817,1881
2018-05-10,0.0023420198527368897,2107
2018-05-11,0.0033658353083864632,2897
2018-05-14,0.002931885075595551,2131
2018-05-15,0.0033975153895838086,2678
2018-05-16,0.004135755186494661,1744
2018-05-17,0.0031912752233342746,2247
2018-05-18,0.0012901882165932358,2243
2018-05-21,0.002577220700895808,1933
2018-05-22,0.004717525681954817,2057
2018-05-23,0.0029381900358153652,2489
2018-05-24,0.0023641686157439353,2027
2018-05-25,0.0028099292720332107,2107
2018-05-28,0.0011947606961883934,1411
2018-05-29,0.0028508700845311058,2197
2018-05-30,0.0035350579429864514,2054
2018-05-31,0.002333620065066064,2167
2018-06-01,0.002310334883707372,2361
2018-06-04,0.0037905924574912924,1995
2018-06-05,0.002482932742847203,1870
2018-06-06,0.002249639378317355,2145
2018-06-07,0.0012719687819776058,2140
2018-06-08,0.0020753452010784526,2910
2018-06-11,0.002858541280910957,1446
2018-06-12,0.0026683863924826085,2038
2018-06-13,0.0026947902297016573,2184
2018-06-14,0.0034495573683825734,2039
2018-06-15,0.00226810590493479,2883
2018-06-19,0.0030482751110586814,2357
2018-06-20,0.0025015217177847137,1876
2018-06-21,0.0029848273082767446,1906
2018-06-22,0.0032294028444730225,2169
2018-06-25,0.0021144394344917374,2014
2018-06-26,0.0013552121287159582,1883
2018-06-27,0.001427574851545917,2239
2018-06-28,0.0014924846612564579,1875
2018-06-29,0.0022089325264134777,2406
2018-07-02,0.0012982846433630042,2030
2018-07-03,0.0014689071466187642,2010
2018-07-04,0.002622136355972432,1829
2018-07-05,0.002474369320419454,2390
2018-07-06,0.0021927693500402926,1617
2018-07-09,0.0023940574226580255,1754
2018-07-10,0.0014845635676434127,1756
2018-07-11,0.00317319877400579,1671
2018-07-12,0.0016766828275265489,1587
2018-07-13,0.002157237082601954,1817
2018-07-16,0.0007825440094920665,1272
2018-07-17,0.0014234183048431966,1787
2018-07-18,0.00268670282127329,1807
2018-07-19,0.00274304871168942,1919
2018-07-20,0.0022906474858458495,2242
2018-07-23,0.0021394046638894258,1979
2018-07-24,0.0026403641483480813,1760
2018-07-25,0.001447282932742179,1852
2018-07-26,0.0025660856813919737,1807
2018-07-27,0.0014647513179222263,1892
2018-07-30,0.0026556364800933295,2030
2018-07-31,0.0031803406938242505,2009
2018-08-01,0.0020843092063373607,1660
2018-08-02,0.0029605564822265044,2185
2018-08-03,0.0032863390078839475,2647
2018-08-06,0.005803693381478205,1906
2018-08-07,0.004289898608207029,2144
2018-08-08,0.003370631253758741,2114
2018-08-09,0.0028371961012890936,1651
2018-08-10,0.002504036901910975,2675
2018-08-13,0.0016686188367260883,2509
2018-08-14,0.0036143658936141007,2131
2018-08-15,0.002882696314269834,2831
2018-08-16,0.0029740669986534508,2351
2018-08-17,0.004591177090459517,2389
2018-08-20,0.0024487200051534312,1898
2018-08-21,0.0018367328906042577,1980
2018-08-22,0.002437545546853287,1768
2018-08-23,0.0023068280006541464,1995
2018-08-24,0.003208816366654633,2478
2018-08-27,0.002122876790046697,1017
2018-08-28,0.0030863739420362514,1731
2018-08-29,0.0050980625957817195,1833
2018-08-30,0.0019970104339771186,1850
2018-08-31,0.002271680153623197,2030
