word,sentiment_score
 ,-0.012110326452421081
了,-0.12017356603573558
的,0.07175543099385331
，,-0.05631407469446733
是,0.11506522674107185
我,-0.037343084124860246
？,-0.037677521584595176
今天,0.020503360775537764
都,-0.06635145646760661
就,0.03329223558892536
?,-0.026082623397162014
嗎,0.06375270219228914
要,0.08814715987920596
~,-0.13820680279936248
在,-0.007195423826834502
!,0.04151696465914407
有,0.18513701143523453
！,0.0392077885390124
又,0.08557467496104167
買,0.04791150931892603
好,0.3989872116581529
啊,-0.13674514517396338
不,-0.18225005324073046
你,-0.16303037810856594
也,0.04265619113289271
=,-0.15117623157557114
...,-0.0625966924444572
沒,-0.27713268366631727
吧,-0.02490777343982224
多,-0.028120456940767168
啦,-0.07537052982401385
來,-0.08342131973992117
說,0.13045041396104157
看,0.1376038897335381
被,-0.3514261465961218
真的,0.2159384236401752
跟,0.18423776354228086
跌,-0.2016912573828237
賺,0.10838176775383154
到,0.03976049203450432
會,0.22314801981718743
明天,-0.01757289224421538
怎麼,-0.021074851871228168
GG,-0.04965050402630204
…,-0.12063360341483614
XD,-0.06615920987007
人,-0.08837490880972879
就是,0.1426109817530717
空,-0.19926166465814937
錢,0.08615955421168434
台股,-0.016350353943187557
很,0.05584030063038976
大,0.06279232139517095
。,0.018483640820555643
再,0.024191687444585455
～,0.07357349301918606
QQ,-0.2427437854240608
漲,-0.14166574353343894
+,0.03952255912889309
死,-0.4713159001813625
老蘇,0.16499719558422282
喔,0.05495202286914783
軍,-0.35495246371997835
阿,-0.282950197458161
笑,-0.08831842896881226
去,-0.28648000022018405
上,0.133935429107333
拉,-0.09983536241769712
昨天,0.08990009837078959
等,0.09352565426921114
才,0.2611882756602753
賣,-0.12498251911490797
現在,-0.05748407496007583
@,-0.05441191088705685
大家,0.08367023059482415
什麼,-0.1775661645685616
嘎,-0.27326072895073866
後,0.19772995695101783
做,-0.12310719849861328
長榮,0.09453629315636973
..,-0.16305145229192172
外資,-0.15247810207242513
V,-0.2542797485296273
殺,-0.43429734372962936
對,0.12912047015310016
一堆,0.13553689873160976
有人,-0.1068782011883639
想,0.051867874342809886
他,-0.13243459963537432
美股,0.01712593352375908
快,0.10560149800692831
",",-0.05928693360787233
月,-0.03918382922448624
惹,-0.034878395034797935
崩,-0.19414127947445922
這樣,-0.11264593846072164
漲停,0.09993029619882761
一下,0.06103503988907035
誰,-0.25883433611376927
為,0.09058080914717287
^,0.06772683044621307
-,0.013934256394210955
點,-0.001469876757334977
囉,0.1102580861625721
老師,0.2125253444186168
吃,-0.20663041206007912
股,0.009423708131162363
那,0.031677544950376606
自己,-0.0025505375835328872
....,-0.1770674008115905
跑,-0.20970188332166922
繼續,0.09611033938336837
99,-0.06064649160354662
.,-0.11591173732838099
散戶,-0.13930422826794814
股票,-0.019239973350755005
下去,-0.31575538047824364
1,0.003644318888917323
這麼,-0.01630326912300645
台,-0.25097904405929283
讓,0.12800062460796865
下,-0.30729975855744335
小,-0.15184476190630383
比,0.06000532365916665
是不是,0.08883201964677044
玩,-0.14747402884374156
(,-0.014745325011323371
起來,0.0384905345421182
2,-0.04096597583382988
:,-0.00678913656696432
可能,-0.01254999652633584
高,0.03399486027040062
/,0.05154364069500056
萬,0.10566872719167687
一個,0.061571176417477703
航運,-0.010584258472816393
嗚,-0.2534167247688735
：,-0.024193332108688653
得,0.2983905590088523
撿,-0.04575909265113847
還在,0.03218243211861814
10,0.0276961812265474
每天,0.08953837141763955
啥,-0.27152280734796846
喊,-0.22671831562460715
呢,0.007621319744889791
這,-0.08477600518025148
爆,-0.2957366350051001
完,0.044715778036982866
到底,-0.2088347268114837
gg,-0.03324202303221705
怕,-0.11110033539594881
該,-0.04535261694367223
能,0.24337796044936946
話,0.05046923065321972
只有,0.0811194475896324
),0.007134724760345974
出來,-0.03441643481426317
還,0.045495609903521916
大盤,-0.22109868377220387
跌停,-0.016536617034527943
搓,-0.1634606200865829
太,-0.08103115983700773
個,0.0371574194125759
小道,-0.10416701807606715
進場,0.06906325056519176
塊,0.09059300578474451
把,-0.18345445243697736
一,0.008524752361902808
3,0.06666423338722449
開,0.0980051759088682
前,-0.0048779720289708305
盤,-0.13209765292075623
台積電,-0.1280917023721989
著,0.007571927077249102
各位,0.10266257227439766
中,0.08034165197902116
回,0.018728328693226406
開高,-0.1217580442514521
但,-0.05300122116644065
倒,-0.34864120697721956
沖,-0.13582091844129376
拜,0.07127914461138612
夜盤,-0.09541301982975904
主力,-0.09668306609806088
一天,0.14490617748676451
幹,-0.3465008116932293
空單,0.003546970402901983
元,-0.022218187915926085
收,-0.011858475562893139
持股,-0.08186698304711008
期貨,0.06624014455930902
只,0.04158343944752715
結果,-0.08436115164217511
噴,-0.04668263828444634
陽明,0.14306354986946224
如果,0.11829362742650155
放空,0.011377026919465709
最近,-0.003407317916378273
最,0.1711209608601313
和,0.034186708564200786
讚,0.21762748526047954
叫,-0.07919286900608638
爽,0.14760204839383953
年,-0.084015290246081
撐,-0.09200410373292232
鬆,0.1614476640426058
真,0.4983552022457508
時候,0.08481135105033415
尾盤,-0.09890763043097528
停損,-0.12248956479603165
之前,0.09674154918533348
低,-0.10138628583660605
等等,0.018428635073178264
折折,-0.0826517659617329
只是,-0.0542737725146079
嘉偉,0.23174109713299612
A,-0.3152012617542271
長,0.09144380824244375
走,-0.12668739299995213
欸,0.015673770991062135
出貨,-0.2397178905109021
多少,0.05748374247925936
先,0.14952194650354686
這個,0.032574339416052235
台灣,-0.04192195939606355
5,-0.005604000777838563
抄底,0.04090360627906353
二哥,0.06179503657100806
995,-0.12468311460874225
哪,-0.17764902967144708
空手,-0.2648046574221674
猛,-0.1527756135681414
出,0.018885652979650367
回來,0.03510135337909547
日,-0.0031593154312166225
越,0.17532947399481377
台積,-0.08217449801934336
股市,-0.14469405894565587
鬼,-0.13276320540419975
看來,-0.006455402032856596
打,-0.25802481355239715
哥,0.08029048961909802
上車,0.02460080798569118
一點,-0.07513928816437318
張,0.04301307279119925
一起,0.1852807524722392
4,0.016595622450774315
肉,0.012551321420412907
所以,-0.024644432250956794
耶,-0.056960319612606135
v,0.02442706026913511
老,-0.18424695952234818
100,0.10333862729715523
萬海,0.10263601157636192
那麼,-0.12317870966176839
別,-0.03884884096596803
早,0.11617445800940333
破,-0.1763964565323396
請,0.08035182713433076
看看,0.1078067377973702
行情,0.14936384076175316
......,-0.08959301307277885
聽,-0.06169176393981311
無腦,0.17067915985326465
當沖,0.017559810260952987
因為,0.11573074300106884
嘛,-0.17319283541514394
發哥,-0.027068549458213336
金融,-0.16718055916816232
套,-0.15328628611801037
一次,0.19873331762418753
合一,0.17526178648433438
今年,0.05498153811004794
多多,0.010910284136981986
200,0.036009547964829684
不過,0.12818890786909526
掉,-0.4924811312692188
AI,0.07704197667933572
投信,0.03784596531116817
平盤,-0.13028383728879028
50,0.0022249088665068687
20,-0.01499330729616793
上去,-0.16971109578204574
便宜,0.13298883208721296
30,0.04584628852981426
噴噴,0.12676000071624105
黑,-0.21425528468033572
像,0.14498000022756347
從,0.04599456381078666
紅茶,0.1546003332248704
這種,-0.03558290963151092
靠,0.06029776067020135
較,0.050808693711401225
國巨,0.18340350809531325
線,-0.030340838928256873
們,0.019670802434606297
早上,-0.11168241507890223
騙,-0.4782504422961861
一根,0.056258362103278316
.....,-0.17038147814921636
、,0.15644852613851784
穩,0.27452586651083977
假,-0.25894965805226716
300,0.04621687148524146
指數,-0.11978137649806352
收盤,0.0574639206728113
救命,-0.04190845779077655
亂,-0.5275848314559997
我們,-0.01069100552105651
XDD,-0.13998262373387696
多蛙,0.036716278166124806
融資,-0.018413458931733104
燈,0.18656356007108335
美國,-0.07554026107992211
天天,0.13235142498902097
盤後,0.02346920268476189
那個,0.0012638628543383702
阿榮,0.020379775369010176
綠,-0.09343399698500007
世界,0.016354546480528552
睡,-0.02414588462422791
哲哲,-0.06651193504590025
用,0.20016413977857064
更,-0.01756281472275348
小兒,-0.22658471713705516
哭,-0.3533237649618475
大獲,0.3341516573375342
9,-0.019110209379437658
崩崩,-0.18898263864889056
有點,-0.09212117258839388
晚上,-0.004761174380934078
空蛙,-0.1822172042369449
韭菜,-0.15121591242318183
崩盤,-0.23002931715652788
於,0.17044234577389114
馬,0.015997420060649047
G,-0.04379537724992011
500,0.04938214798578842
龍哥,-0.05668875703493626
>,-0.05610901328202357
傻,-0.1812239256105899
跳水,-0.2647903663736771
這次,-0.002526111472698291
（,-0.010381174748342008
追,-0.07394423076392433
賠,-0.2192531756534544
翻,-0.2413234094597691
砍,-0.3147991395384826
已,0.016115986721170497
隻,0.15250907382769616
陶,-0.14080562384696763
其他,0.08535898145711282
7,0.034720883059943836
三,-0.1173218202867935
8,0.05866900992495823
-.-,-0.19138289104882186
聯電,0.11787975745536747
公公,-0.04115202674474745
重播,-0.18906056908369526
只能,-0.11848146251655202
開低,-0.19366236930994124
抱,0.06836136668093204
天,0.08761029736335883
睏,0.13657254118161433
禮拜,0.12456463069199679
做空,-0.28512610393562415
_,-0.01410861462689599
公園,-0.12689760034528946
傻多,-0.2082262908859992
住,-0.06637632125397504
送,0.044629609256826436
玉山,-0.05592943863859327
空空,-0.2649131692470184
小心,0.10410873167236007
找,0.022563832288961513
6,0.07235585198099379
老輸,0.07613910919413702
幫,0.17111076693850547
去年,-0.06615494436327998
往,-0.016980776107146323
0.0,-0.02515330272781342
會不會,0.1624376541592845
屌,-0.07217653710788367
原來,0.08718427643120821
解套,-0.043054617003263344
<,-0.12641125400119826
呀,-0.0506339778819227
剛剛,-0.1733482983512145
電子,-0.07694799483073678
早就,0.10070870677025846
以,0.05051520636242713
有夠,0.11514911226162027
這盤,-0.2957087604896825
丸子,-0.12138496795426407
這波,-0.08851700427638322
蛙,-0.26829100149344526
）,0.005058103538879021
啊啊啊,-0.14206110381202813
搞,-0.496967526533424
爆噴,-0.135026115113981
懂,0.21465674751665983
投顧,-0.08818167708145609
噴了,0.047588604700236424
站,0.1530294258373533
新高,0.2708397100885296
目前,0.03259991943736474
XDDD,-0.18476101784736268
硬,-0.3279643596055845
面板,0.06403060942117907
新,0.2117417855284026
政府,-0.10120202048025068
股價,0.025804430103377254
洗,-0.3198196982300446
日本,-0.06488015459210021
公司,0.00608852752212514
一張,0.009022566221775883
厲害,0.16209969873879834
預告,0.10569375515030464
大哥,-0.005341188145971447
難,-0.1716164178984455
仔,-0.2630095433217175
股版,-0.027855881282074058
會員,0.12334935166592008
幾天,0.052413837978305254
哦,0.14719091071799842
緯創,0.14952691020065706
事,-0.08081680121406012
見,0.0748595311685362
飛機,-0.07552519992219046
救救,0.05956656967533324
嘴,-0.18608721390669722
籌碼,-0.09337706229099248
搶,-0.032512708409120815
少,-0.21351891390735114
時,0.1496041469971883
差不多,0.21395786494717092
操作,0.11971187545027945
跳,-0.10913916798753877
市場,-0.02384419211160885
多單,0.06323617836651324
慢慢,0.019770398755179042
套牢,-0.20182638081673027
傻空,-0.20506293612467297
就要,0.09507746832367255
輸,0.12814339033617073
一波,0.17928771658154632
至少,0.07034790923460602
圖,0.09779958316665174
倒貨,-0.333450458110237
大爆,-0.06191368086188661
成本,0.07422847026178854
閒聊,-0.09345155259751706
量,-0.0034262792027279824
補,0.08611698753471893
單,0.0026513580582002085
但是,0.07322979517673131
億,-0.051483624908420754
託,0.021330259149803507
隔日,-0.03577661522571584
美元,-0.02370559755871647
翻紅,-0.08243145277744841
突然,-0.05587921036767941
大戶,-0.08849561408605926
扯,-0.17480410551980477
高點,0.11343114924787655
喵,0.07167472555578154
一路,0.08153380293419882
資金,0.1675251171305423
拿,0.004012510836399613
水手,-0.09095819250483099
大媽,-0.08551474546706078
突破,0.020287543666189747
多空,-0.1058507373297261
今晚,0.09146260797697363
vix,-0.05501224227150717
信,0.20487767603793278
救,0.12956107720737664
台幣,-0.045397029860784706
你們,-0.0664771151880029
節目,-0.002238416837389932
剩,0.10069415031539426
財報,0.08491282028690669
趴,0.0699338088202416
復,0.08037895423037955
拆,-0.10704069643378095
中國,-0.0791774127283393
新聞,0.08519402527170183
走高,-0.1873377320457594
鴻海,-0.07051513036863802
宇宙,0.08114868071289162
下來,-0.2929217934888152
乾,-0.29747503407375564
接,-0.04940708155115322
利空,0.06061901307619774
指,-0.0583137830110117
起,0.06805293869232364
神,0.1152930167538621
好多,0.1885798295651364
畢業,-0.29744476348036225
結束,0.04285423293578931
多頭,0.028349542715400435
每次,0.03941189177492935
VIX,0.07968615018494152
請問,0.08940750724718081
逃命,-0.13811735016233806
盤中,-0.14500677724702146
12,-0.017191368725262956
哈哈哈,-0.09230123421872027
賺爛,0.3055095953693346
40,0.06736801088515797
之,0.04658716622580597
整天,-0.22257114517212706
推,0.08070891719234276
飛,-0.22802667982260968
炒,-0.017532655500120006
比較,0.0028411169128652026
484,0.07055544920298085
嘎偉,0.1764524707780401
算,0.1269800118974471
11,0.07524491339273541
中小,-0.23987242219643778
酸,-0.22968756602879975
猜,0.06358769163629595
金,0.07208357642441257
早安,0.30666558641779834
結算,-0.11205644166382463
"""",-0.22587033371050402
變,0.06647496021036123
黃,0.07678665477354758
以下,0.01604697337369215
概念股,0.14157688061920928
反,-0.040309560398866254
久,0.03140220049015696
一半,0.09621733288537927
被套,-0.09109134601857122
快逃,-0.13025310882022775
帶,0.07517305686367028
阿文,0.017674729469815794
霸數,0.1687805408182113
哇,-0.00110860634331449
阿明,0.03411520237967777
進,0.170671637214069
空頭,-0.12052541172609364
抬,0.043805807055395954
兇,-0.2546743195495571
字頭,0.11048966624991909
上次,0.11219787461265701
破底,-0.22090393101227315
創,0.23951684064661932
600,0.018662852310500338
