method,acc_3class,f1_3class,f1_binary,kappa,pearson_r,spearman_r,coverage,pred_pval,granger_pval,oos_r2,sharpe,ic_mean,ic_ir,qr_q10_coef,qr_q90_coef,time_sec
w2v,0.3085131060078868,0.2294242683527411,0.5886996729446261,0.004441042587364885,0.016360608245697725,0.011044525493802674,0.933554697368896,0.1895689819753913,0.015458749800056048,-0.0074228685001758166,0.6293840125717419,0.022069585608105947,0.0951995992057151,0.02767096460352115,0.002682683586703982,54.15838837623596
finbert,0.5319774786155124,0.2605469696623142,0.893476693712901,-0.001729422874042319,-0.0016166805640796939,-0.02392664095386492,1.0,0.5996226157804434,0.5001351778524059,-0.011184282267619139,0.669934210008181,0.03616402718042327,0.14803934030471377,0.03194328146020231,0.016206302528865013,3684.5454726219177
