pipeline,n_comments,coverage,acc_3class,f1_3class_macro,kappa,acc_binary,f1_binary,n_binary,pearson_r,pearson_p,spearman_r,spearman_p,mean_score_push,count_push,mean_score_boo,count_boo,mean_score_arrow,count_arrow,best_threshold
v1,914795,0.5397240359637059,0.377552347793768,0.32273627217331846,0.00282077277977022,0.4392411223424608,0.5604191116301148,538374,0.021157382455581887,4.5137139530083896e-91,0.020442213477393528,3.817519900240009e-85,0.04595052563605987,470449,0.0200097568833272,67925,0.04386741251150403,376421,0.05
v2,1595084,0.9410908172663076,0.32999578705572874,0.296411727757062,0.006939139394324445,0.3127954465390256,0.3882527223582072,976488,0.00948878170355614,4.29599882514925e-33,0.0008177317104422837,0.30171295207585236,-0.008194858755874996,858335,-0.020103896340710227,118153,-0.004855664027977442,618596,0.05
